phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,25334,24.8031659,175108.0
fixation_after,ch1,max,2,23276,22.7451214,174906.0
fixation_after,ch1,min,1,16932,16.4009388,148874.0
fixation_after,ch1,min,2,19030,18.4990226,148946.0
fixation_after,ch2,max,1,23728,23.1971204,-1697421.0
fixation_after,ch2,max,2,23308,22.7771078,-1697571.0
fixation_after,ch2,min,1,18902,18.3709932,-1715191.0
fixation_after,ch2,min,2,18702,18.1709931,-1715048.0
fixation_after,ch3,max,1,16622,16.0909415,-592913.0
fixation_after,ch3,max,2,18181,17.6500004,-592985.0
fixation_after,ch3,min,1,25264,24.7331684,-606377.0
fixation_after,ch3,min,2,25244,24.7131765,-606289.0
fixation_before,ch1,max,1,1650,1.1185764,173628.0
fixation_before,ch1,max,2,2170,1.63858,173318.0
fixation_before,ch1,min,1,460,0.1357093,145027.0
fixation_before,ch1,min,2,1340,0.808554,146232.0
fixation_before,ch2,max,1,461,0.1359756,-1697247.0
fixation_before,ch2,max,2,1861,1.3295944,-1697473.0
fixation_before,ch2,min,1,1171,0.6395538,-1715702.0
fixation_before,ch2,min,2,1251,0.719557,-1715699.0
fixation_before,ch3,max,1,5649,5.117693,-590463.0
fixation_before,ch3,max,2,430,0.1276121,-591153.0
fixation_before,ch3,min,1,460,0.1357093,-606167.0
fixation_before,ch3,min,2,2160,1.6285888,-604609.0
stimulus,ch1,max,1,14004,13.4728879,173414.0
stimulus,ch1,max,2,15403,14.8719253,173388.0
stimulus,ch1,min,1,11436,10.9048113,148617.0
stimulus,ch1,min,2,11536,11.0048094,148677.0
stimulus,ch2,max,1,12797,12.2658375,-1698069.0
stimulus,ch2,max,2,15335,14.8038845,-1698250.0
stimulus,ch2,min,1,13986,13.4548948,-1715323.0
stimulus,ch2,min,2,12427,11.8958382,-1715138.0
stimulus,ch3,max,1,11406,10.8748112,-592127.0
stimulus,ch3,max,2,11306,10.7747856,-592165.0
stimulus,ch3,min,1,15353,14.8219145,-604052.0
stimulus,ch3,min,2,15473,14.9419155,-603964.0
