sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,197857810570700,0.0106168,1,fixation_before,3,197857804202700,0,0,3,147156.0,-1707387.0,-603121.0,,"147156,-1707387,-603121"
1,197857810893900,0.01094,1,fixation_before,3,197857804202700,0,0,3,153627.0,-1699011.0,-595619.0,,"153627,-1699011,-595619"
2,197857811198000,0.0112441,1,fixation_before,3,197857804202700,0,0,3,155494.0,-1699399.0,-595416.0,,"155494,-1699399,-595416"
3,197857811463500,0.0115096,1,fixation_before,3,197857804202700,0,0,3,158069.0,-1701001.0,-595404.0,,"158069,-1701001,-595404"
4,197857811727100,0.0117732,1,fixation_before,3,197857804202700,0,0,3,160468.0,-1702317.0,-595049.0,,"160468,-1702317,-595049"
5,197857811994000,0.0120401,1,fixation_before,3,197857804202700,0,0,3,160881.0,-1706231.0,-597182.0,,"160881,-1706231,-597182"
6,197857812258800,0.0123049,1,fixation_before,3,197857804202700,0,0,3,163049.0,-1706292.0,-596053.0,,"163049,-1706292,-596053"
7,197857812523500,0.0125696,1,fixation_before,3,197857804202700,0,0,3,166556.0,-1705095.0,-593949.0,,"166556,-1705095,-593949"
8,197857812787300,0.0128334,1,fixation_before,3,197857804202700,0,0,3,166654.0,-1708096.0,-595614.0,,"166654,-1708096,-595614"
9,197857813053000,0.0130991,1,fixation_before,3,197857804202700,0,0,3,167366.0,-1708591.0,-595349.0,,"167366,-1708591,-595349"
10,197857813331100,0.0133772,1,fixation_before,4,197857813002500,0,0,3,171628.0,-1705056.0,-591480.0,,"171628,-1705056,-591480"
11,197857813624400,0.0136705,1,fixation_before,4,197857813002500,0,0,3,164943.0,-1713695.0,-599422.0,,"164943,-1713695,-599422"
12,197857813944900,0.013991,1,fixation_before,4,197857813002500,0,0,3,163783.0,-1712306.0,-598718.0,,"163783,-1712306,-598718"
13,197857814269700,0.0143158,1,fixation_before,4,197857813002500,0,0,3,162028.0,-1710213.0,-597908.0,,"162028,-1710213,-597908"
14,197857814561000,0.0146071,1,fixation_before,4,197857813002500,0,0,3,157877.0,-1711189.0,-600074.0,,"157877,-1711189,-600074"
15,197857814853200,0.0148993,1,fixation_before,4,197857813002500,0,0,3,156471.0,-1707371.0,-597979.0,,"156471,-1707371,-597979"
16,197857815110600,0.0151567,1,fixation_before,4,197857813002500,0,0,3,154913.0,-1705655.0,-597782.0,,"154913,-1705655,-597782"
