event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197472131529800,0.0
1,fixation_before_start,1,fixation_before,0,197472131608800,7.9e-05
2,fixation_before_end,1,fixation_before,600,197482059314600,9.9277848
3,stimulus_start,2,stimulus,600,197482059320600,9.9277908
4,stimulus_end,2,stimulus,900,197487058490100,14.9269603
5,fixation_after_start,3,fixation_after,900,197487058496300,14.9269665
6,fixation_after_end,3,fixation_after,1500,197497056790100,24.9252603
7,experiment_end,8,finished,1500,197497056796700,24.9252669
