phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,18692,18.1393985,-97307.0
fixation_after,ch1,max,2,18672,18.1193958,-97444.0
fixation_after,ch1,min,1,24201,23.648548,-137882.0
fixation_after,ch1,min,2,17642,17.0893893,-137515.0
fixation_after,ch2,max,1,20410,19.8574561,-286427.0
fixation_after,ch2,max,2,20490,19.9374535,-286956.0
fixation_after,ch2,min,1,17541,16.9884341,-301291.0
fixation_after,ch2,min,2,25079,24.5265367,-301106.0
fixation_after,ch3,max,1,20492,19.9394452,-967619.0
fixation_after,ch3,max,2,20372,19.819445,-967853.0
fixation_after,ch3,min,1,17523,16.9703988,-1006234.0
fixation_after,ch3,min,2,17503,16.9503899,-1005897.0
fixation_before,ch1,max,1,1217,0.663963,-89994.0
fixation_before,ch1,max,2,637,0.1704466,-90214.0
fixation_before,ch1,min,1,1546,0.9929779,-137902.0
fixation_before,ch1,min,2,1466,0.912995,-137660.0
fixation_before,ch2,max,1,275,0.0742827,-283705.0
fixation_before,ch2,max,2,495,0.132674,-283710.0
fixation_before,ch2,min,1,9244,8.6911804,-298634.0
fixation_before,ch2,min,2,4465,3.9120661,-298292.0
fixation_before,ch3,max,1,637,0.1704466,-960921.0
fixation_before,ch3,max,2,877,0.3239959,-961449.0
fixation_before,ch3,min,1,1266,0.712982,-1001780.0
fixation_before,ch3,min,2,1547,0.9939724,-1001712.0
stimulus,ch1,max,1,10535,9.9821842,-98547.0
stimulus,ch1,max,2,10855,10.302171,-98730.0
stimulus,ch1,min,1,14104,13.5513089,-138536.0
stimulus,ch1,min,2,14084,13.5312986,-137999.0
stimulus,ch2,max,1,10673,10.1201977,-287852.0
stimulus,ch2,max,2,11253,10.7002165,-287936.0
stimulus,ch2,min,1,15002,14.4493385,-301599.0
stimulus,ch2,min,2,15122,14.5693174,-301461.0
stimulus,ch3,max,1,10855,10.302171,-970479.0
stimulus,ch3,max,2,10535,9.9821842,-970544.0
stimulus,ch3,min,1,14104,13.5513089,-1006347.0
stimulus,ch3,min,2,15002,14.4493385,-1006129.0
