phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,22644,22.0973151,299589.0
fixation_after,ch1,max,2,22804,22.2573096,299449.0
fixation_after,ch1,min,1,15593,15.0461265,263231.0
fixation_after,ch1,min,2,15493,14.9461255,263358.0
fixation_after,ch2,max,1,15515,14.9681091,-1502604.0
fixation_after,ch2,max,2,15995,15.4480771,-1502813.0
fixation_after,ch2,min,1,24609,24.0623583,-1521801.0
fixation_after,ch2,min,2,25349,24.8023644,-1521679.0
fixation_after,ch3,max,1,15503,14.9561153,-282010.0
fixation_after,ch3,max,2,15623,15.0761116,-282616.0
fixation_after,ch3,min,1,24609,24.0623583,-304499.0
fixation_after,ch3,min,2,24892,24.3453612,-304247.0
fixation_before,ch1,max,1,18,0.0061614,306431.0
fixation_before,ch1,max,2,58,0.0176959,305984.0
fixation_before,ch1,min,1,7631,7.0839354,271794.0
fixation_before,ch1,min,2,5710,5.1628675,271891.0
fixation_before,ch2,max,1,170,0.0497297,-1491642.0
fixation_before,ch2,max,2,10,0.0038193,-1491664.0
fixation_before,ch2,min,1,9266,8.7189694,-1514615.0
fixation_before,ch2,min,2,10464,9.9170032,-1514181.0
fixation_before,ch3,max,1,18,0.0061614,-272872.0
fixation_before,ch3,max,2,758,0.2172036,-273386.0
fixation_before,ch3,min,1,10212,9.6650051,-297442.0
fixation_before,ch3,min,2,10332,9.7850043,-297267.0
idle,ch2,max,1,2,0.0014657,-1497630.0
idle,ch3,max,1,1,0.0011709,-278373.0
stimulus,ch1,max,1,10522,9.9749975,304099.0
stimulus,ch1,max,2,10722,10.1750002,303782.0
stimulus,ch1,min,1,14053,13.5060874,257922.0
stimulus,ch1,min,2,14133,13.5860755,257949.0
stimulus,ch2,max,1,12534,11.9870506,-1499679.0
stimulus,ch2,max,2,12514,11.9670515,-1499729.0
stimulus,ch2,min,1,11947,11.4000197,-1517462.0
stimulus,ch2,min,2,15325,14.7781422,-1516697.0
stimulus,ch3,max,1,15223,14.6761128,-282056.0
stimulus,ch3,max,2,14723,14.1760984,-282207.0
stimulus,ch3,min,1,13093,12.5460835,-300576.0
stimulus,ch3,min,2,13393,12.8460665,-300275.0
