event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197915888756000,0.0
1,fixation_before_start,1,fixation_before,0,197915888816900,6.09e-05
2,fixation_before_end,1,fixation_before,600,197925818233600,9.9294776
3,stimulus_start,2,stimulus,600,197925818240000,9.929484
4,stimulus_end,2,stimulus,900,197930817299300,14.9285433
5,fixation_after_start,3,fixation_after,900,197930817306300,14.9285503
6,fixation_after_end,3,fixation_after,1500,197940815743100,24.9269871
7,experiment_end,8,finished,1500,197940815749200,24.9269932
