event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197569763649100,0.0
1,fixation_before_start,1,fixation_before,0,197569763710200,6.11e-05
2,fixation_before_end,1,fixation_before,600,197579692924100,9.929275
3,stimulus_start,2,stimulus,600,197579692930300,9.9292812
4,stimulus_end,2,stimulus,900,197584692114800,14.9284657
5,fixation_after_start,3,fixation_after,900,197584692121400,14.9284723
6,fixation_after_end,3,fixation_after,1500,197594690415400,24.9267663
7,experiment_end,8,finished,1500,197594690421200,24.9267721
