event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,195554875386100,0.0
1,fixation_before_start,1,fixation_before,0,195554875446500,6.04e-05
2,fixation_before_end,1,fixation_before,600,195564797572400,9.9221863
3,stimulus_start,2,stimulus,600,195564797579400,9.9221933
4,stimulus_end,2,stimulus,900,195569796695900,14.9213098
5,fixation_after_start,3,fixation_after,900,195569796703100,14.921317
6,fixation_after_end,3,fixation_after,1500,195579795074300,24.9196882
7,experiment_end,8,finished,1500,195579795080200,24.9196941
