phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,25412,24.8663459,-74052.0
fixation_after,ch1,max,2,25392,24.846334,-74250.0
fixation_after,ch1,min,1,15649,15.1030875,-124813.0
fixation_after,ch1,min,2,15548,15.0020848,-124136.0
fixation_after,ch2,max,1,25371,24.825335,-1559094.0
fixation_after,ch2,max,2,25411,24.8653401,-1559275.0
fixation_after,ch2,min,1,16507,15.9611145,-1592494.0
fixation_after,ch2,min,2,16727,16.1811393,-1592339.0
fixation_after,ch3,max,1,25392,24.846334,-362189.0
fixation_after,ch3,max,2,25412,24.8663459,-362656.0
fixation_after,ch3,min,1,16488,15.9421195,-403460.0
fixation_after,ch3,min,2,16727,16.1811393,-402852.0
fixation_before,ch1,max,1,10301,9.7549474,-96207.0
fixation_before,ch1,max,2,10421,9.8749527,-96595.0
fixation_before,ch1,min,1,1154,0.6077516,-142331.0
fixation_before,ch1,min,2,1235,0.6887424,-141916.0
fixation_before,ch2,max,1,9940,9.3939443,-1581286.0
fixation_before,ch2,max,2,10340,9.7939482,-1581312.0
fixation_before,ch2,min,1,74,0.0223948,-1616547.0
fixation_before,ch2,min,2,274,0.0793173,-1615724.0
fixation_before,ch3,max,1,9902,9.3559205,-390481.0
fixation_before,ch3,max,2,10301,9.7549474,-391026.0
fixation_before,ch3,min,1,14,0.0053169,-438014.0
fixation_before,ch3,min,2,74,0.0223948,-437891.0
stimulus,ch1,max,1,14000,13.4540626,-84901.0
stimulus,ch1,max,2,14579,14.0330526,-85765.0
stimulus,ch1,min,1,11350,10.8039828,-132768.0
stimulus,ch1,min,2,11370,10.8239914,-132183.0
stimulus,ch2,max,1,14001,13.4550961,-1567535.0
stimulus,ch2,max,2,14238,13.6920266,-1568801.0
stimulus,ch2,min,1,11390,10.8439821,-1601810.0
stimulus,ch2,min,2,11350,10.8039828,-1601028.0
stimulus,ch3,max,1,14000,13.4540626,-366960.0
stimulus,ch3,max,2,13978,13.4319732,-368034.0
stimulus,ch3,min,1,11350,10.8039828,-419331.0
stimulus,ch3,min,2,11370,10.8239914,-419259.0
