sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,196502585280100,0.0105537,1,fixation_before,3,196502579012200,0,0,3,-22225.0,-1857932.0,-614402.0,,"-22225,-1857932,-614402"
1,196502585595900,0.0108695,1,fixation_before,3,196502579012200,0,0,3,-15725.0,-1854432.0,-609307.0,,"-15725,-1854432,-609307"
2,196502585876100,0.0111497,1,fixation_before,3,196502579012200,0,0,3,-10797.0,-1852241.0,-605813.0,,"-10797,-1852241,-605813"
3,196502586141500,0.0114151,1,fixation_before,3,196502579012200,0,0,3,-6324.0,-1851857.0,-604245.0,,"-6324,-1851857,-604245"
4,196502586404000,0.0116776,1,fixation_before,3,196502579012200,0,0,3,-2664.0,-1849836.0,-601653.0,,"-2664,-1849836,-601653"
5,196502586656800,0.0119304,1,fixation_before,3,196502579012200,0,0,3,-377.0,-1848937.0,-600286.0,,"-377,-1848937,-600286"
6,196502586912000,0.0121856,1,fixation_before,3,196502579012200,0,0,3,1571.0,-1849004.0,-599867.0,,"1571,-1849004,-599867"
7,196502587166400,0.01244,1,fixation_before,3,196502579012200,0,0,3,-352.0,-1848851.0,-600440.0,,"-352,-1848851,-600440"
8,196502587430900,0.0127045,1,fixation_before,3,196502579012200,0,0,3,-6459.0,-1850365.0,-603484.0,,"-6459,-1850365,-603484"
9,196502587708800,0.0129824,1,fixation_before,3,196502579012200,0,0,3,-13806.0,-1854133.0,-608465.0,,"-13806,-1854133,-608465"
10,196502587985300,0.0132589,1,fixation_before,3,196502579012200,0,0,3,-21757.0,-1856182.0,-612327.0,,"-21757,-1856182,-612327"
11,196502588259400,0.013533,1,fixation_before,3,196502579012200,0,0,3,-29539.0,-1859754.0,-617228.0,,"-29539,-1859754,-617228"
12,196502588532000,0.0138056,1,fixation_before,3,196502579012200,0,0,3,-35475.0,-1862512.0,-620818.0,,"-35475,-1862512,-620818"
13,196502588808600,0.0140822,1,fixation_before,3,196502579012200,0,0,3,-40814.0,-1863584.0,-623008.0,,"-40814,-1863584,-623008"
14,196502589082200,0.0143558,1,fixation_before,3,196502579012200,0,0,3,-44036.0,-1865776.0,-625767.0,,"-44036,-1865776,-625767"
15,196502589355600,0.0146292,1,fixation_before,3,196502579012200,0,0,3,-44540.0,-1866328.0,-626726.0,,"-44540,-1866328,-626726"
16,196502589628100,0.0149017,1,fixation_before,3,196502579012200,0,0,3,-45374.0,-1865438.0,-626462.0,,"-45374,-1865438,-626462"
17,196502589904800,0.0151784,1,fixation_before,3,196502579012200,0,0,3,-43144.0,-1864876.0,-625589.0,,"-43144,-1864876,-625589"
18,196502590179200,0.0154528,1,fixation_before,3,196502579012200,0,0,3,-37154.0,-1862712.0,-622766.0,,"-37154,-1862712,-622766"
19,196502590484300,0.0157579,1,fixation_before,3,196502579012200,0,0,3,-29668.0,-1859219.0,-618209.0,,"-29668,-1859219,-618209"
20,196502590831000,0.0161046,1,fixation_before,4,196502590389200,0,0,3,-22556.0,-1857560.0,-614631.0,,"-22556,-1857560,-614631"
21,196502591121700,0.0163953,1,fixation_before,4,196502590389200,0,0,3,-16437.0,-1855110.0,-610402.0,,"-16437,-1855110,-610402"
22,196502591396400,0.01667,1,fixation_before,4,196502590389200,0,0,3,-11576.0,-1853244.0,-607186.0,,"-11576,-1853244,-607186"
23,196502591657500,0.0169311,1,fixation_before,4,196502590389200,0,0,3,-6726.0,-1852279.0,-604942.0,,"-6726,-1852279,-604942"
24,196502591917500,0.0171911,1,fixation_before,4,196502590389200,0,0,3,-2869.0,-1850033.0,-601821.0,,"-2869,-1850033,-601821"
25,196502592167100,0.0174407,1,fixation_before,4,196502590389200,0,0,3,-538.0,-1849226.0,-600453.0,,"-538,-1849226,-600453"
26,196502592416900,0.0176905,1,fixation_before,4,196502590389200,0,0,3,1438.0,-1849432.0,-600171.0,,"1438,-1849432,-600171"
27,196502592670500,0.0179441,1,fixation_before,4,196502590389200,0,0,3,-816.0,-1849737.0,-600846.0,,"-816,-1849737,-600846"
