phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,24714,24.16593,-4386.0
fixation_after,ch1,max,2,24354,23.8059601,-5639.0
fixation_after,ch1,min,1,23964,23.4159484,-59607.0
fixation_after,ch1,min,2,24064,23.5159462,-59494.0
fixation_after,ch2,max,1,24913,24.3649615,-1853483.0
fixation_after,ch2,max,2,24813,24.2649621,-1853936.0
fixation_after,ch2,min,1,24063,23.5149474,-1879526.0
fixation_after,ch2,min,2,17867,17.3187946,-1879512.0
fixation_after,ch3,max,1,24714,24.16593,-617718.0
fixation_after,ch3,max,2,24354,23.8059601,-618864.0
fixation_after,ch3,min,1,23964,23.4159484,-652975.0
fixation_after,ch3,min,2,24063,23.5149474,-652893.0
fixation_before,ch1,max,1,466,0.136008,2393.0
fixation_before,ch1,max,2,446,0.1306675,2321.0
fixation_before,ch1,min,1,5174,4.6254817,-53302.0
fixation_before,ch1,min,2,10492,9.9436066,-52969.0
fixation_before,ch2,max,1,46,0.0230066,-1846972.0
fixation_before,ch2,max,2,704,0.1999647,-1847748.0
fixation_before,ch2,min,1,10391,9.8426245,-1878797.0
fixation_before,ch2,min,2,10051,9.5026052,-1877517.0
fixation_before,ch3,max,1,126,0.0444221,-599394.0
fixation_before,ch3,max,2,46,0.0230066,-599534.0
fixation_before,ch3,min,1,10391,9.8426245,-643582.0
fixation_before,ch3,min,2,10491,9.9426085,-643298.0
stimulus,ch1,max,1,10562,10.013598,-5574.0
stimulus,ch1,max,2,10542,9.9935953,-6151.0
stimulus,ch1,min,1,15030,14.4817466,-55097.0
stimulus,ch1,min,2,15010,14.4617372,-54938.0
stimulus,ch2,max,1,12640,12.0916466,-1857580.0
stimulus,ch2,max,2,10542,9.9935953,-1857747.0
stimulus,ch2,min,1,15029,14.4807378,-1879772.0
stimulus,ch2,min,2,14569,14.0207075,-1879392.0
stimulus,ch3,max,1,10562,10.013598,-614921.0
stimulus,ch3,max,2,10582,10.0335953,-615692.0
stimulus,ch3,min,1,15029,14.4807378,-647716.0
stimulus,ch3,min,2,15129,14.5808089,-647631.0
