sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,196376978265300,0.010571,1,fixation_before,4,196376978072200,0,0,3,323181.0,-1494109.0,-268880.0,,"323181,-1494109,-268880"
1,196376978578800,0.0108845,1,fixation_before,4,196376978072200,0,0,3,324054.0,-1489466.0,-265294.0,,"324054,-1489466,-265294"
2,196376978858300,0.011164,1,fixation_before,4,196376978072200,0,0,3,318939.0,-1492160.0,-268728.0,,"318939,-1492160,-268728"
3,196376979135900,0.0114416,1,fixation_before,4,196376978072200,0,0,3,318430.0,-1487833.0,-265803.0,,"318430,-1487833,-265803"
4,196376979412900,0.0117186,1,fixation_before,4,196376978072200,0,0,3,316753.0,-1485761.0,-265010.0,,"316753,-1485761,-265010"
5,196376979695200,0.0120009,1,fixation_before,4,196376978072200,0,0,3,313212.0,-1486647.0,-266881.0,,"313212,-1486647,-266881"
6,196376979971300,0.012277,1,fixation_before,4,196376978072200,0,0,3,314263.0,-1481811.0,-263147.0,,"314263,-1481811,-263147"
7,196376980248200,0.0125539,1,fixation_before,4,196376978072200,0,0,3,314233.0,-1480727.0,-262459.0,,"314233,-1480727,-262459"
8,196376980524900,0.0128306,1,fixation_before,4,196376978072200,0,0,3,310201.0,-1485186.0,-266754.0,,"310201,-1485186,-266754"
9,196376980800100,0.0131058,1,fixation_before,4,196376978072200,0,0,3,313842.0,-1479920.0,-261883.0,,"313842,-1479920,-261883"
10,196376981076500,0.0133822,1,fixation_before,4,196376978072200,0,0,3,317194.0,-1477251.0,-259014.0,,"317194,-1477251,-259014"
11,196376981351000,0.0136567,1,fixation_before,4,196376978072200,0,0,3,317416.0,-1480508.0,-261181.0,,"317416,-1480508,-261181"
12,196376981631900,0.0139376,1,fixation_before,4,196376978072200,0,0,3,320586.0,-1480585.0,-260341.0,,"320586,-1480585,-260341"
13,196376981908900,0.0142146,1,fixation_before,4,196376978072200,0,0,3,320684.0,-1484899.0,-263249.0,,"320684,-1484899,-263249"
14,196376982261000,0.0145667,1,fixation_before,4,196376978072200,0,0,3,322774.0,-1485301.0,-262826.0,,"322774,-1485301,-262826"
15,196376982670300,0.014976,1,fixation_before,4,196376978072200,0,0,3,326046.0,-1484049.0,-260908.0,,"326046,-1484049,-260908"
16,196376983109700,0.0154154,1,fixation_before,4,196376978072200,0,0,3,325830.0,-1487581.0,-263369.0,,"325830,-1487581,-263369"
17,196376983401100,0.0157068,1,fixation_before,4,196376978072200,0,0,3,327246.0,-1487930.0,-262539.0,,"327246,-1487930,-262539"
18,196376983732100,0.0160378,1,fixation_before,4,196376978072200,0,0,3,330359.0,-1486052.0,-259953.0,,"330359,-1486052,-259953"
19,196376984018900,0.0163246,1,fixation_before,4,196376978072200,0,0,3,326339.0,-1492191.0,-265510.0,,"326339,-1492191,-265510"
20,196376984290600,0.0165963,1,fixation_before,4,196376978072200,0,0,3,322883.0,-1494817.0,-268181.0,,"322883,-1494817,-268181"
21,196376984558600,0.0168643,1,fixation_before,4,196376978072200,0,0,3,323304.0,-1490361.0,-264918.0,,"323304,-1490361,-264918"
22,196376984831200,0.0171369,1,fixation_before,4,196376978072200,0,0,3,317771.0,-1492880.0,-268454.0,,"317771,-1492880,-268454"
23,196376985096600,0.0174023,1,fixation_before,4,196376978072200,0,0,3,317078.0,-1488523.0,-265664.0,,"317078,-1488523,-265664"
24,196376985363100,0.0176688,1,fixation_before,4,196376978072200,0,0,3,316319.0,-1485951.0,-264759.0,,"316319,-1485951,-264759"
25,196376985633200,0.0179389,1,fixation_before,4,196376978072200,0,0,3,313509.0,-1486597.0,-266644.0,,"313509,-1486597,-266644"
26,196376985898100,0.0182038,1,fixation_before,4,196376978072200,0,0,3,314604.0,-1482044.0,-263068.0,,"314604,-1482044,-263068"
27,196376986164900,0.0184706,1,fixation_before,4,196376978072200,0,0,3,315103.0,-1480637.0,-261771.0,,"315103,-1480637,-261771"
28,196376986430400,0.0187361,1,fixation_before,4,196376978072200,0,0,3,310699.0,-1485710.0,-266684.0,,"310699,-1485710,-266684"
29,196376986695400,0.0190011,1,fixation_before,4,196376978072200,0,0,3,314727.0,-1479760.0,-261406.0,,"314727,-1479760,-261406"
30,196376986959600,0.0192653,1,fixation_before,4,196376978072200,0,0,3,317934.0,-1477078.0,-258431.0,,"317934,-1477078,-258431"
31,196376987224200,0.0195299,1,fixation_before,4,196376978072200,0,0,3,317779.0,-1480256.0,-260888.0,,"317779,-1480256,-260888"
32,196376987489900,0.0197956,1,fixation_before,4,196376978072200,0,0,3,320831.0,-1480324.0,-260082.0,,"320831,-1480324,-260082"
33,196376987756400,0.0200621,1,fixation_before,4,196376978072200,0,0,3,321060.0,-1484939.0,-262669.0,,"321060,-1484939,-262669"
34,196376988024800,0.0203305,1,fixation_before,4,196376978072200,0,0,3,323177.0,-1485922.0,-262094.0,,"323177,-1485922,-262094"
35,196376988290800,0.0205965,1,fixation_before,4,196376978072200,0,0,3,326599.0,-1484469.0,-260234.0,,"326599,-1484469,-260234"
36,196376988599700,0.0209054,1,fixation_before,4,196376978072200,0,0,3,326059.0,-1487604.0,-263357.0,,"326059,-1487604,-263357"
37,196376988866700,0.0211724,1,fixation_before,4,196376978072200,0,0,3,327116.0,-1487054.0,-263116.0,,"327116,-1487054,-263116"
38,196376989132500,0.0214382,1,fixation_before,4,196376978072200,0,0,3,329858.0,-1484664.0,-261011.0,,"329858,-1484664,-261011"
39,196376989396900,0.0217026,1,fixation_before,4,196376978072200,0,0,3,325327.0,-1490786.0,-267027.0,,"325327,-1490786,-267027"
40,196376989662200,0.0219679,1,fixation_before,4,196376978072200,0,0,3,322117.0,-1493425.0,-269469.0,,"322117,-1493425,-269469"
41,196376989930000,0.0222357,1,fixation_before,4,196376978072200,0,0,3,323868.0,-1488711.0,-265279.0,,"323868,-1488711,-265279"
42,196376990194200,0.0224999,1,fixation_before,4,196376978072200,0,0,3,319318.0,-1491540.0,-268184.0,,"319318,-1491540,-268184"
43,196376990459700,0.0227654,1,fixation_before,4,196376978072200,0,0,3,319171.0,-1487809.0,-264912.0,,"319171,-1487809,-264912"
44,196376990723400,0.0230291,1,fixation_before,4,196376978072200,0,0,3,317907.0,-1486114.0,-264004.0,,"317907,-1486114,-264004"
45,196376990989900,0.0232956,1,fixation_before,4,196376978072200,0,0,3,314161.0,-1487226.0,-266318.0,,"314161,-1487226,-266318"
46,196376991254800,0.0235605,1,fixation_before,4,196376978072200,0,0,3,315036.0,-1482401.0,-262961.0,,"315036,-1482401,-262961"
47,196376991523400,0.0238291,1,fixation_before,4,196376978072200,0,0,3,315478.0,-1480656.0,-261839.0,,"315478,-1480656,-261839"
48,196376991789200,0.0240949,1,fixation_before,4,196376978072200,0,0,3,310599.0,-1485706.0,-266947.0,,"310599,-1485706,-266947"
49,196376992053900,0.0243596,1,fixation_before,4,196376978072200,0,0,3,314197.0,-1479996.0,-261923.0,,"314197,-1479996,-261923"
50,196376992317600,0.0246233,1,fixation_before,4,196376978072200,0,0,3,317449.0,-1477276.0,-259164.0,,"317449,-1477276,-259164"
51,196376992605000,0.0249107,1,fixation_before,4,196376978072200,0,0,3,317880.0,-1480371.0,-261178.0,,"317880,-1480371,-261178"
52,196376992869800,0.0251755,1,fixation_before,4,196376978072200,0,0,3,321203.0,-1480417.0,-259814.0,,"321203,-1480417,-259814"
53,196376993133300,0.025439,1,fixation_before,4,196376978072200,0,0,3,321431.0,-1484905.0,-262798.0,,"321431,-1484905,-262798"
54,196376993396100,0.0257018,1,fixation_before,4,196376978072200,0,0,3,323825.0,-1485310.0,-262412.0,,"323825,-1485310,-262412"
55,196376993659000,0.0259647,1,fixation_before,4,196376978072200,0,0,3,327411.0,-1484015.0,-260406.0,,"327411,-1484015,-260406"
56,196376993924900,0.0262306,1,fixation_before,4,196376978072200,0,0,3,326866.0,-1487807.0,-263094.0,,"326866,-1487807,-263094"
57,196376994189400,0.0264951,1,fixation_before,4,196376978072200,0,0,3,327907.0,-1487917.0,-262747.0,,"327907,-1487917,-262747"
58,196376994459400,0.0267651,1,fixation_before,4,196376978072200,0,0,3,330933.0,-1485850.0,-260437.0,,"330933,-1485850,-260437"
59,196376994728000,0.0270337,1,fixation_before,4,196376978072200,0,0,3,326891.0,-1491899.0,-265982.0,,"326891,-1491899,-265982"
60,196376994995800,0.0273015,1,fixation_before,5,196376994890500,0,0,3,323446.0,-1494174.0,-268771.0,,"323446,-1494174,-268771"
61,196376995263100,0.0275688,1,fixation_before,5,196376994890500,0,0,3,324208.0,-1489637.0,-265486.0,,"324208,-1489637,-265486"
62,196376995558500,0.0278642,1,fixation_before,5,196376994890500,0,0,3,318936.0,-1492226.0,-268998.0,,"318936,-1492226,-268998"
63,196376995836700,0.0281424,1,fixation_before,5,196376994890500,0,0,3,318440.0,-1487569.0,-265990.0,,"318440,-1487569,-265990"
64,196376996101100,0.0284068,1,fixation_before,5,196376994890500,0,0,3,316906.0,-1485596.0,-265128.0,,"316906,-1485596,-265128"
65,196376996366800,0.0286725,1,fixation_before,5,196376994890500,0,0,3,313211.0,-1486771.0,-266987.0,,"313211,-1486771,-266987"
66,196376996632400,0.0289381,1,fixation_before,5,196376994890500,0,0,3,313936.0,-1482234.0,-263435.0,,"313936,-1482234,-263435"
67,196376996897500,0.0292032,1,fixation_before,5,196376994890500,0,0,3,314423.0,-1480576.0,-262214.0,,"314423,-1480576,-262214"
68,196376997162200,0.0294679,1,fixation_before,5,196376994890500,0,0,3,309759.0,-1485656.0,-267295.0,,"309759,-1485656,-267295"
69,196376997433100,0.0297388,1,fixation_before,5,196376994890500,0,0,3,313566.0,-1480008.0,-262012.0,,"313566,-1480008,-262012"
70,196376997699500,0.0300052,1,fixation_before,5,196376994890500,0,0,3,317035.0,-1477359.0,-259072.0,,"317035,-1477359,-259072"
71,196376997964300,0.03027,1,fixation_before,5,196376994890500,0,0,3,317603.0,-1480524.0,-261175.0,,"317603,-1480524,-261175"
72,196376998228900,0.0305346,1,fixation_before,5,196376994890500,0,0,3,320924.0,-1480644.0,-260239.0,,"320924,-1480644,-260239"
73,196376998493000,0.0307987,1,fixation_before,5,196376994890500,0,0,3,321136.0,-1484891.0,-263070.0,,"321136,-1484891,-263070"
74,196376998757100,0.0310628,1,fixation_before,5,196376994890500,0,0,3,323307.0,-1485278.0,-262596.0,,"323307,-1485278,-262596"
75,196376999022600,0.0313283,1,fixation_before,5,196376994890500,0,0,3,326524.0,-1484024.0,-260791.0,,"326524,-1484024,-260791"
76,196376999287600,0.0315933,1,fixation_before,5,196376994890500,0,0,3,326236.0,-1487547.0,-263570.0,,"326236,-1487547,-263570"
77,196376999583800,0.0318895,1,fixation_before,5,196376994890500,0,0,3,327541.0,-1487557.0,-263087.0,,"327541,-1487557,-263087"
78,196376999849400,0.0321551,1,fixation_before,5,196376994890500,0,0,3,330741.0,-1485646.0,-260509.0,,"330741,-1485646,-260509"
79,196377000114600,0.0324203,1,fixation_before,5,196376994890500,0,0,3,326819.0,-1492054.0,-266064.0,,"326819,-1492054,-266064"
80,196377000383000,0.0326887,1,fixation_before,5,196376994890500,0,0,3,323270.0,-1494572.0,-268907.0,,"323270,-1494572,-268907"
81,196377000648200,0.0329539,1,fixation_before,5,196376994890500,0,0,3,324131.0,-1489512.0,-265296.0,,"324131,-1489512,-265296"
82,196377000912500,0.0332182,1,fixation_before,5,196376994890500,0,0,3,318639.0,-1492193.0,-269140.0,,"318639,-1492193,-269140"
83,196377001177400,0.0334831,1,fixation_before,5,196376994890500,0,0,3,318136.0,-1487550.0,-266127.0,,"318136,-1487550,-266127"
84,196377001440700,0.0337464,1,fixation_before,5,196376994890500,0,0,3,316523.0,-1485485.0,-265334.0,,"316523,-1485485,-265334"
85,196377001707600,0.0340133,1,fixation_before,5,196376994890500,0,0,3,312833.0,-1486562.0,-267266.0,,"312833,-1486562,-267266"
