event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197798427084900,0.0
1,fixation_before_start,1,fixation_before,0,197798427145700,6.08e-05
2,fixation_before_end,1,fixation_before,600,197808354587900,9.927503
3,stimulus_start,2,stimulus,600,197808354594900,9.92751
4,stimulus_end,2,stimulus,900,197813353632300,14.9265474
5,fixation_after_start,3,fixation_after,900,197813353639300,14.9265544
6,fixation_after_end,3,fixation_after,1500,197823352073900,24.924989
7,experiment_end,8,finished,1500,197823352080500,24.9249956
