phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,19872,19.3529627,170117.0
fixation_after,ch1,max,2,20052,19.5329654,169529.0
fixation_after,ch1,min,1,15543,15.0238591,145187.0
fixation_after,ch1,min,2,21442,20.9230186,145666.0
fixation_after,ch2,max,1,21204,20.6850149,-1693101.0
fixation_after,ch2,max,2,21184,20.6650246,-1693188.0
fixation_after,ch2,min,1,17874,17.3549142,-1713771.0
fixation_after,ch2,min,2,17074,16.5549679,-1713697.0
fixation_after,ch3,max,1,21312,20.7930161,-572766.0
fixation_after,ch3,max,2,21352,20.8330181,-572809.0
fixation_after,ch3,min,1,15543,15.0238591,-591535.0
fixation_after,ch3,min,2,15663,15.1438601,-591051.0
fixation_before,ch1,max,1,782,0.2624963,171891.0
fixation_before,ch1,max,2,1022,0.5024954,171676.0
fixation_before,ch1,min,1,2251,1.7315247,143113.0
fixation_before,ch1,min,2,2291,1.77153,143240.0
fixation_before,ch2,max,1,2212,1.6925217,-1691557.0
fixation_before,ch2,max,2,2412,1.892523,-1691611.0
fixation_before,ch2,min,1,843,0.3234944,-1713397.0
fixation_before,ch2,min,2,1043,0.5235056,-1713372.0
fixation_before,ch3,max,1,2181,1.6615243,-573229.0
fixation_before,ch3,max,2,2221,1.7015234,-573321.0
fixation_before,ch3,min,1,832,0.3125023,-592079.0
fixation_before,ch3,min,2,852,0.332495,-591959.0
stimulus,ch1,max,1,13694,13.1748083,169235.0
stimulus,ch1,max,2,15393,14.8738629,169225.0
stimulus,ch1,min,1,12065,11.5457416,144986.0
stimulus,ch1,min,2,11865,11.3457123,145019.0
stimulus,ch2,max,1,10787,10.2677395,-1696480.0
stimulus,ch2,max,2,11067,10.5477591,-1696841.0
stimulus,ch2,min,1,14375,13.8558308,-1713790.0
stimulus,ch2,min,2,15155,14.6358617,-1713614.0
stimulus,ch3,max,1,12994,12.4748102,-580071.0
stimulus,ch3,max,2,12894,12.3747878,-580096.0
stimulus,ch3,min,1,15343,14.8238639,-591406.0
stimulus,ch3,min,2,15163,14.6441134,-591191.0
