event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197769113777000,0.0
1,fixation_before_start,1,fixation_before,0,197769113848200,7.12e-05
2,fixation_before_end,1,fixation_before,600,197779042813100,9.9290361
3,stimulus_start,2,stimulus,600,197779042820100,9.9290431
4,stimulus_end,2,stimulus,900,197784041933400,14.9281564
5,fixation_after_start,3,fixation_after,900,197784041939600,14.9281626
6,fixation_after_end,3,fixation_after,1500,197794040308100,24.9265311
7,experiment_end,8,finished,1500,197794040314300,24.9265373
