event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,197657831037600,0.0
1,fixation_before_start,1,fixation_before,0,197657831099700,6.21e-05
2,fixation_before_end,1,fixation_before,600,197667761531300,9.9304937
3,stimulus_start,2,stimulus,600,197667761537500,9.9304999
4,stimulus_end,2,stimulus,900,197672760700100,14.9296625
5,fixation_after_start,3,fixation_after,900,197672760706400,14.9296688
6,fixation_after_end,3,fixation_after,1500,197682758986100,24.9279485
7,experiment_end,8,finished,1500,197682758992500,24.9279549
