sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,182828487681000,0.0006828,0,idle,-1,0,0,0,1,167.0,,,,167
1,182828487789100,0.0007909,0,idle,-1,0,0,0,1,584.0,,,,584
2,182828487864300,0.0008661,0,idle,-1,0,0,0,1,848.0,,,,848
3,182828487947500,0.0009493,0,idle,-1,0,0,0,1,1144.0,,,,1144
4,182828488032900,0.0010347,0,idle,-1,0,0,0,1,1396.0,,,,1396
5,182828488111000,0.0011128,0,idle,-1,0,0,0,1,1445.0,,,,1445
6,182828488189400,0.0011912,0,idle,-1,0,0,0,1,1273.0,,,,1273
7,182828488260800,0.0012626,0,idle,-1,0,0,0,1,971.0,,,,971
8,182828488327200,0.001329,0,idle,-1,0,0,0,1,621.0,,,,621
9,182828488393700,0.0013955,0,idle,-1,0,0,0,1,277.0,,,,277
10,182828488461300,0.0014631,0,idle,-1,0,0,0,1,-81.0,,,,-81
11,182828488552900,0.0015547,0,idle,-1,0,0,0,1,-449.0,,,,-449
12,182828488647400,0.0016492,0,idle,-1,0,0,0,1,-755.0,,,,-755
13,182828488752800,0.0017546,0,idle,-1,0,0,0,1,-1102.0,,,,-1102
14,182828488868800,0.0018706,0,idle,-1,0,0,0,1,-1401.0,,,,-1401
15,182828488962500,0.0019643,0,idle,-1,0,0,0,1,-1467.0,,,,-1467
16,182828489057500,0.0020593,0,idle,-1,0,0,0,1,-1357.0,,,,-1357
17,182828489162600,0.0021644,0,idle,-1,0,0,0,1,-1070.0,,,,-1070
18,182828489243300,0.0022451,0,idle,-1,0,0,0,1,-676.0,,,,-676
19,182828489324400,0.0023262,0,idle,-1,0,0,0,1,-264.0,,,,-264
20,182828489402500,0.0024043,0,idle,-1,0,0,0,1,156.0,,,,156
21,182828489472000,0.0024738,0,idle,-1,0,0,0,1,581.0,,,,581
22,182828489540000,0.0025418,1,fixation_before,0,182828488513700,0,0,1,849.0,,,,849
23,182828489632200,0.002634,1,fixation_before,0,182828488513700,0,0,1,1138.0,,,,1138
24,182828489723400,0.0027252,1,fixation_before,0,182828488513700,0,0,1,1403.0,,,,1403
25,182828489804900,0.0028067,1,fixation_before,0,182828488513700,0,0,1,1462.0,,,,1462
26,182828489885400,0.0028872,1,fixation_before,0,182828488513700,0,0,1,1297.0,,,,1297
27,182828489956200,0.002958,1,fixation_before,0,182828488513700,0,0,1,996.0,,,,996
28,182828490033000,0.0030348,1,fixation_before,0,182828488513700,0,0,1,636.0,,,,636
29,182828490140000,0.0031418,1,fixation_before,1,182828490005800,0,0,1,283.0,,,,283
30,182828490249100,0.0032509,1,fixation_before,1,182828490005800,0,0,1,-56.0,,,,-56
31,182828490382900,0.0033847,1,fixation_before,1,182828490005800,0,0,1,-439.0,,,,-439
32,182828490476200,0.003478,1,fixation_before,1,182828490005800,0,0,1,-747.0,,,,-747
33,182828490570900,0.0035727,1,fixation_before,1,182828490005800,0,0,1,-1109.0,,,,-1109
34,182828490689700,0.0036915,1,fixation_before,1,182828490005800,0,0,1,-1390.0,,,,-1390
35,182828490851500,0.0038533,1,fixation_before,1,182828490005800,0,0,1,-1471.0,,,,-1471
36,182828490967600,0.0039694,1,fixation_before,1,182828490005800,0,0,1,-1376.0,,,,-1376
37,182828491072200,0.004074,1,fixation_before,1,182828490005800,0,0,1,-1087.0,,,,-1087
38,182828491158300,0.0041601,1,fixation_before,1,182828490005800,0,0,1,-670.0,,,,-670
