phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,25035,24.4709969,176692.0
fixation_after,ch1,max,2,25095,24.5309904,176686.0
fixation_after,ch1,min,1,23846,23.2819682,153593.0
fixation_after,ch1,min,2,23726,23.1619692,153911.0
fixation_after,ch2,max,1,15713,15.1487649,-1663622.0
fixation_after,ch2,max,2,15573,15.0087572,-1663699.0
fixation_after,ch2,min,1,22878,22.3139368,-1684264.0
fixation_after,ch2,min,2,24457,23.8929905,-1684149.0
fixation_after,ch3,max,1,15695,15.1307554,-526070.0
fixation_after,ch3,max,2,15693,15.1287746,-526348.0
fixation_after,ch3,min,1,25339,24.7749916,-543625.0
fixation_after,ch3,min,2,24340,23.7759637,-543531.0
fixation_before,ch1,max,1,364,0.1035092,178139.0
fixation_before,ch1,max,2,10123,9.5585722,178029.0
fixation_before,ch1,min,1,1235,0.6703896,152794.0
fixation_before,ch1,min,2,735,0.2048939,152800.0
fixation_before,ch2,max,1,197,0.0581455,-1659785.0
fixation_before,ch2,max,2,5156,4.5914966,-1659911.0
fixation_before,ch2,min,1,10165,9.6006039,-1680152.0
fixation_before,ch2,min,2,10285,9.7206315,-1680060.0
fixation_before,ch3,max,1,364,0.1035092,-515036.0
fixation_before,ch3,max,2,39,0.0150202,-516679.0
fixation_before,ch3,min,1,10467,9.9026404,-536216.0
fixation_before,ch3,min,2,8788,8.2235798,-536114.0
stimulus,ch1,max,1,11782,11.2176566,177163.0
stimulus,ch1,max,2,12682,12.1176807,176904.0
stimulus,ch1,min,1,14951,14.3867354,153854.0
stimulus,ch1,min,2,15131,14.5667321,154437.0
stimulus,ch2,max,1,10695,10.1306414,-1661979.0
stimulus,ch2,max,2,14393,13.8287299,-1662013.0
stimulus,ch2,min,1,14723,14.1587324,-1682902.0
stimulus,ch2,min,2,14563,13.9987488,-1682877.0
stimulus,ch3,max,1,11115,10.5506272,-523764.0
stimulus,ch3,max,2,10575,10.0106285,-523831.0
stimulus,ch3,min,1,15345,14.7807572,-539766.0
stimulus,ch3,min,2,15245,14.6807334,-539464.0
