sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,197627981940200,0.010325,1,fixation_before,3,197627976287500,0,0,3,165714.0,-1682545.0,-559710.0,,"165714,-1682545,-559710"
1,197627982249900,0.0106347,1,fixation_before,3,197627976287500,0,0,3,169905.0,-1682207.0,-557908.0,,"169905,-1682207,-557908"
2,197627982527200,0.010912,1,fixation_before,3,197627976287500,0,0,3,167738.0,-1688404.0,-562579.0,,"167738,-1688404,-562579"
3,197627982799700,0.0111845,1,fixation_before,3,197627976287500,0,0,3,172209.0,-1685871.0,-559054.0,,"172209,-1685871,-559054"
4,197627983072100,0.0114569,1,fixation_before,3,197627976287500,0,0,3,173914.0,-1687044.0,-559060.0,,"173914,-1687044,-559060"
5,197627983347000,0.0117318,1,fixation_before,3,197627976287500,0,0,3,171104.0,-1692566.0,-563467.0,,"171104,-1692566,-563467"
6,197627983618100,0.0120029,1,fixation_before,3,197627976287500,0,0,3,177023.0,-1686522.0,-557219.0,,"177023,-1686522,-557219"
7,197627983887800,0.0122726,1,fixation_before,3,197627976287500,0,0,3,172528.0,-1693879.0,-563707.0,,"172528,-1693879,-563707"
8,197627984159200,0.012544,1,fixation_before,3,197627976287500,0,0,3,168753.0,-1696800.0,-566878.0,,"168753,-1696800,-566878"
9,197627984428700,0.0128135,1,fixation_before,3,197627976287500,0,0,3,166459.0,-1695559.0,-566945.0,,"166459,-1695559,-566945"
10,197627984700100,0.0130849,1,fixation_before,3,197627976287500,0,0,3,166068.0,-1691782.0,-564901.0,,"166068,-1691782,-564901"
11,197627984971700,0.0133565,1,fixation_before,3,197627976287500,0,0,3,159904.0,-1693908.0,-568737.0,,"159904,-1693908,-568737"
12,197627985245800,0.0136306,1,fixation_before,4,197627984912500,0,0,3,163268.0,-1685102.0,-561989.0,,"163268,-1685102,-561989"
13,197627985516800,0.0139016,1,fixation_before,4,197627984912500,0,0,3,158488.0,-1687450.0,-565349.0,,"158488,-1687450,-565349"
14,197627985788800,0.0141736,1,fixation_before,4,197627984912500,0,0,3,156690.0,-1686142.0,-565016.0,,"156690,-1686142,-565016"
15,197627986060900,0.0144457,1,fixation_before,4,197627984912500,0,0,3,162123.0,-1677936.0,-557681.0,,"162123,-1677936,-557681"
16,197627986349700,0.0147345,1,fixation_before,4,197627984912500,0,0,3,155158.0,-1686669.0,-566106.0,,"155158,-1686669,-566106"
17,197627986620100,0.0150049,1,fixation_before,4,197627984912500,0,0,3,158301.0,-1681398.0,-561440.0,,"158301,-1681398,-561440"
18,197627986889900,0.0152747,1,fixation_before,4,197627984912500,0,0,3,162191.0,-1677908.0,-558017.0,,"162191,-1677908,-558017"
19,197627987160700,0.0155455,1,fixation_before,4,197627984912500,0,0,3,165366.0,-1677510.0,-556845.0,,"165366,-1677510,-556845"
20,197627987490900,0.0158757,1,fixation_before,4,197627984912500,0,0,3,164772.0,-1682638.0,-560231.0,,"164772,-1682638,-560231"
21,197627987769800,0.0161546,1,fixation_before,4,197627984912500,0,0,3,169170.0,-1682598.0,-558199.0,,"169170,-1682598,-558199"
22,197627988041300,0.0164261,1,fixation_before,4,197627984912500,0,0,3,167247.0,-1688639.0,-562688.0,,"167247,-1688639,-562688"
23,197627988307300,0.0166921,1,fixation_before,4,197627984912500,0,0,3,172056.0,-1685522.0,-559142.0,,"172056,-1685522,-559142"
24,197627988573300,0.0169581,1,fixation_before,4,197627984912500,0,0,3,174267.0,-1686593.0,-559082.0,,"174267,-1686593,-559082"
25,197627988838100,0.0172229,1,fixation_before,4,197627984912500,0,0,3,171829.0,-1692177.0,-563209.0,,"171829,-1692177,-563209"
26,197627989114200,0.017499,1,fixation_before,4,197627984912500,0,0,3,177988.0,-1685936.0,-556452.0,,"177988,-1685936,-556452"
27,197627989376800,0.0177616,1,fixation_before,4,197627984912500,0,0,3,173015.0,-1693770.0,-563455.0,,"173015,-1693770,-563455"
28,197627989641400,0.0180262,1,fixation_before,4,197627984912500,0,0,3,169321.0,-1696498.0,-566513.0,,"169321,-1696498,-566513"
