phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,22491,21.9438845,-90117.0
fixation_after,ch1,max,2,16529,15.9817337,-90217.0
fixation_after,ch1,min,1,17519,16.9718943,-128178.0
fixation_after,ch1,min,2,16899,16.3517764,-128109.0
fixation_after,ch2,max,1,22489,21.9418732,-282761.0
fixation_after,ch2,max,2,22469,21.9218891,-283218.0
fixation_after,ch2,min,1,17518,16.9707753,-296441.0
fixation_after,ch2,min,2,18398,17.8507896,-296394.0
fixation_after,ch3,max,1,24071,23.5239377,-957637.0
fixation_after,ch3,max,2,22911,22.363913,-957671.0
fixation_after,ch3,min,1,15739,15.1917406,-993222.0
fixation_after,ch3,min,2,15779,15.2317361,-993040.0
fixation_before,ch1,max,1,1840,1.2923689,-83012.0
fixation_before,ch1,max,2,2201,1.6533684,-83281.0
fixation_before,ch1,min,1,1890,1.3423875,-128541.0
fixation_before,ch1,min,2,2130,1.5823757,-128386.0
fixation_before,ch2,max,1,1198,0.6503405,-282866.0
fixation_before,ch2,max,2,1619,1.0713664,-282877.0
fixation_before,ch2,min,1,3050,2.5024045,-297649.0
fixation_before,ch2,min,2,5812,5.264482,-296569.0
fixation_before,ch3,max,1,2201,1.6533684,-958933.0
fixation_before,ch3,max,2,1901,1.3533703,-959235.0
fixation_before,ch3,min,1,2029,1.4813783,-997627.0
fixation_before,ch3,min,2,2130,1.5823757,-997571.0
stimulus,ch1,max,1,13308,12.760652,-89866.0
stimulus,ch1,max,2,13368,12.820652,-89920.0
stimulus,ch1,min,1,13658,13.1107014,-127294.0
stimulus,ch1,min,2,13798,13.2507023,-127161.0
stimulus,ch2,max,1,13366,12.8186561,-282454.0
stimulus,ch2,max,2,12966,12.4186614,-283217.0
stimulus,ch2,min,1,14917,14.3697339,-296129.0
stimulus,ch2,min,2,15217,14.6697237,-296004.0
stimulus,ch3,max,1,13368,12.820652,-962874.0
stimulus,ch3,max,2,13308,12.760652,-962897.0
stimulus,ch3,min,1,10736,10.1886099,-993661.0
stimulus,ch3,min,2,10897,10.3496066,-993519.0
