event_index,event_name,phase_code,phase_name,frame_index,time_ns,experiment_time_s
0,experiment_start,1,fixation_before,0,191915239891700,0.0
1,fixation_before_start,1,fixation_before,0,191915239963500,7.18e-05
2,fixation_before_end,1,fixation_before,600,191925158078000,9.9181863
3,stimulus_start,2,stimulus,600,191925158084900,9.9181932
4,stimulus_end,2,stimulus,780,191928157545600,12.9176539
5,fixation_after_start,3,fixation_after,780,191928157552300,12.9176606
6,fixation_after_end,3,fixation_after,1380,191938155957700,22.916066
7,experiment_end,8,finished,1380,191938155964700,22.916073
