phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,14781,13.0136751,1074346.0
fixation_after,ch1,max,2,14801,13.0340253,1073816.0
fixation_after,ch1,min,1,24739,22.9718752,771802.0
fixation_after,ch1,min,2,24720,22.9528925,772460.0
fixation_after,ch2,max,1,24750,22.9827142,2486947.0
fixation_after,ch2,max,2,24730,22.9627627,2486175.0
fixation_after,ch2,min,1,14790,13.0228741,2119090.0
fixation_after,ch2,min,2,14810,13.0429046,2119828.0
fixation_after,ch3,max,1,14780,13.0126827,546544.0
fixation_after,ch3,max,2,14801,13.0340253,545533.0
fixation_after,ch3,min,1,24740,22.9729501,7239.0
fixation_after,ch3,min,2,24720,22.9528925,8403.0
fixation_before,ch1,max,1,35,0.0197094,1530660.0
fixation_before,ch1,max,2,55,0.0293161,1529959.0
fixation_before,ch1,min,1,11767,9.9995577,1158306.0
fixation_before,ch1,min,2,11747,9.9795208,1158928.0
fixation_before,ch2,max,1,11758,9.9907172,2019576.0
fixation_before,ch2,max,2,11738,9.9711417,2018960.0
fixation_before,ch2,min,1,24,0.0139188,1649941.0
fixation_before,ch2,min,2,43,0.0249031,1650436.0
fixation_before,ch3,max,1,532,0.2021206,1261668212.0
fixation_before,ch3,max,2,34,0.0193687,1296021.0
fixation_before,ch3,min,1,11767,9.9995577,696587.0
fixation_before,ch3,min,2,11748,9.9805567,697504.0
idle,ch1,max,1,15,0.0100753,1531354.0
idle,ch1,min,1,4,0.0059207,1526326.0
idle,ch2,max,1,15,0.0100753,1653241.0
idle,ch2,min,1,4,0.0059207,1649407.0
idle,ch3,max,1,14,0.0095679,1297080.0
idle,ch3,min,1,5,0.0063464,1294348.0
stimulus,ch1,max,1,11778,10.010689,1162907.0
stimulus,ch1,max,2,11798,10.0305952,1162309.0
stimulus,ch1,min,1,14750,12.9827288,1070340.0
stimulus,ch1,min,2,14730,12.9626779,1070889.0
stimulus,ch2,max,1,14761,12.9939418,2121364.0
stimulus,ch2,max,2,14741,12.9739264,2120716.0
stimulus,ch2,min,1,11786,10.018651,2017349.0
stimulus,ch2,min,2,11807,10.0401456,2018063.0
stimulus,ch3,max,1,11777,10.0097215,699035.0
stimulus,ch3,max,2,11797,10.0296596,698064.0
stimulus,ch3,min,1,14751,12.9840972,545136.0
stimulus,ch3,min,2,14730,12.9626779,546189.0
