phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,20682,20.1731456,173272.0
fixation_after,ch1,max,2,16539,16.0300138,172948.0
fixation_after,ch1,min,1,19932,19.4231203,146094.0
fixation_after,ch1,min,2,23154,22.6451952,146125.0
fixation_after,ch2,max,1,17292,16.7830551,-1710325.0
fixation_after,ch2,max,2,18132,17.623082,-1710476.0
fixation_after,ch2,min,1,24907,24.3982435,-1732710.0
fixation_after,ch2,min,2,24987,24.4782469,-1732652.0
fixation_after,ch3,max,1,15498,14.9889856,-623329.0
fixation_after,ch3,max,2,15478,14.9690153,-623522.0
fixation_after,ch3,min,1,23929,23.4202152,-639771.0
fixation_after,ch3,min,2,24029,23.5202201,-639708.0
fixation_before,ch1,max,1,437,0.1197319,176936.0
fixation_before,ch1,max,2,738,0.2286687,176275.0
fixation_before,ch1,min,1,428,0.1173029,146444.0
fixation_before,ch1,min,2,6626,6.1167852,147873.0
fixation_before,ch2,max,1,429,0.1175714,-1708954.0
fixation_before,ch2,max,2,910,0.40065,-1709822.0
fixation_before,ch2,min,1,8138,7.6288277,-1732704.0
fixation_before,ch2,min,2,5558,5.048756,-1732399.0
fixation_before,ch3,max,1,437,0.1197319,-619528.0
fixation_before,ch3,max,2,218,0.0603723,-620873.0
fixation_before,ch3,min,1,428,0.1173029,-638032.0
fixation_before,ch3,min,2,4761,4.2517259,-635880.0
idle,ch1,min,1,3,0.0016185,156438.0
idle,ch2,max,1,2,0.0013458,-1724876.0
idle,ch2,min,1,3,0.0016185,-1727470.0
idle,ch3,max,1,2,0.0013458,-629166.0
idle,ch3,min,1,3,0.0016185,-633636.0
stimulus,ch1,max,1,15198,14.6890214,173283.0
stimulus,ch1,max,2,15378,14.8690192,173196.0
stimulus,ch1,min,1,13507,12.9979626,147349.0
stimulus,ch1,min,2,15348,14.8390076,147488.0
stimulus,ch2,max,1,11168,10.6589156,-1710203.0
stimulus,ch2,max,2,10668,10.158904,-1710674.0
stimulus,ch2,min,1,13839,13.3299709,-1732666.0
stimulus,ch2,min,2,12118,11.6089449,-1732653.0
stimulus,ch3,max,1,11416,10.9068373,-622967.0
stimulus,ch3,max,2,13777,13.2679752,-623072.0
stimulus,ch3,min,1,14062,13.5529668,-637612.0
stimulus,ch3,min,2,14562,14.0529841,-637400.0
