phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,21453,20.9078133,177007.0
fixation_after,ch1,max,2,20893,20.3478134,176574.0
fixation_after,ch1,min,1,17563,17.0177696,154056.0
fixation_after,ch1,min,2,16543,15.9976796,154446.0
fixation_after,ch2,max,1,16745,16.1997189,-1671301.0
fixation_after,ch2,max,2,15565,15.019654,-1671477.0
fixation_after,ch2,min,1,22015,21.469839,-1692585.0
fixation_after,ch2,min,2,22735,22.1898382,-1692461.0
fixation_after,ch3,max,1,17265,16.7197116,-538749.0
fixation_after,ch3,max,2,17225,16.6797122,-538839.0
fixation_after,ch3,min,1,24798,24.2528899,-554534.0
fixation_after,ch3,min,2,24778,24.2328921,-554504.0
fixation_before,ch1,max,1,5952,5.4064236,176379.0
fixation_before,ch1,max,2,3512,2.9663702,176044.0
fixation_before,ch1,min,1,2642,2.0963437,152701.0
fixation_before,ch1,min,2,2502,1.9563413,152885.0
fixation_before,ch2,max,1,124,0.0348954,-1670715.0
fixation_before,ch2,max,2,984,0.4383107,-1670774.0
fixation_before,ch2,min,1,194,0.0543131,-1691678.0
fixation_before,ch2,min,2,9994,9.4485236,-1691402.0
fixation_before,ch3,max,1,104,0.0295258,-538702.0
fixation_before,ch3,max,2,224,0.0625431,-538707.0
fixation_before,ch3,min,1,10097,9.5515106,-552894.0
fixation_before,ch3,min,2,10434,9.8885562,-552820.0
idle,ch1,max,1,1,0.0011902,161104.0
idle,ch1,min,1,2,0.0014658,155158.0
idle,ch2,max,1,1,0.0011902,-1674696.0
idle,ch2,min,1,2,0.0014658,-1681644.0
idle,ch3,max,1,1,0.0011902,-541650.0
idle,ch3,min,1,2,0.0014658,-548332.0
stimulus,ch1,max,1,11172,10.6265532,175896.0
stimulus,ch1,max,2,11072,10.5265921,175784.0
stimulus,ch1,min,1,14643,14.0976295,154083.0
stimulus,ch1,min,2,13943,13.3976288,154593.0
stimulus,ch2,max,1,15385,14.8396573,-1671009.0
stimulus,ch2,max,2,14185,13.6396276,-1671101.0
stimulus,ch2,min,1,12634,12.0885993,-1691585.0
stimulus,ch2,min,2,12334,11.7885862,-1691503.0
stimulus,ch3,max,1,15170,14.6246288,-539196.0
stimulus,ch3,max,2,15085,14.5396556,-539363.0
stimulus,ch3,min,1,15437,14.8916557,-553534.0
stimulus,ch3,min,2,12897,12.3516032,-553491.0
