sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
39,198044323998500,0.0214401,1,fixation_before,4,198044315119100,0,0,3,155696.0,-1716408.0,-626131.0,,"155696,-1716408,-626131"
40,198044324266500,0.0217081,1,fixation_before,4,198044315119100,0,0,3,160225.0,-1711064.0,-621033.0,,"160225,-1711064,-621033"
41,198044324532800,0.0219744,1,fixation_before,4,198044315119100,0,0,3,164708.0,-1708861.0,-618042.0,,"164708,-1708861,-618042"
42,198044324798900,0.0222405,1,fixation_before,4,198044315119100,0,0,3,162944.0,-1715319.0,-622872.0,,"162944,-1715319,-622872"
43,198044325063900,0.0225055,1,fixation_before,4,198044315119100,0,0,3,168437.0,-1712349.0,-618725.0,,"168437,-1712349,-618725"
44,198044325334700,0.0227763,1,fixation_before,4,198044315119100,0,0,3,165431.0,-1719907.0,-624312.0,,"165431,-1719907,-624312"
45,198044325602100,0.0230437,1,fixation_before,4,198044315119100,0,0,3,170138.0,-1717463.0,-620276.0,,"170138,-1717463,-620276"
46,198044325865800,0.0233074,1,fixation_before,4,198044315119100,0,0,3,172842.0,-1718419.0,-619309.0,,"172842,-1718419,-619309"
47,198044326132900,0.0235745,1,fixation_before,4,198044315119100,0,0,3,170796.0,-1723322.0,-623180.0,,"170796,-1723322,-623180"
48,198044326405600,0.0238472,1,fixation_before,4,198044315119100,0,0,3,175021.0,-1718294.0,-618374.0,,"175021,-1718294,-618374"
49,198044326680600,0.0241222,1,fixation_before,4,198044315119100,0,0,3,172748.0,-1722899.0,-622086.0,,"172748,-1722899,-622086"
50,198044326950000,0.0243916,1,fixation_before,4,198044315119100,0,0,3,167915.0,-1727706.0,-626671.0,,"167915,-1727706,-626671"
51,198044327215700,0.0246573,1,fixation_before,4,198044315119100,0,0,3,164681.0,-1728607.0,-628427.0,,"164681,-1728607,-628427"
52,198044327482900,0.0249245,1,fixation_before,4,198044315119100,0,0,3,166063.0,-1722750.0,-624354.0,,"166063,-1722750,-624354"
53,198044327749500,0.0251911,1,fixation_before,4,198044315119100,0,0,3,158094.0,-1727861.0,-630862.0,,"158094,-1727861,-630862"
54,198044328016100,0.0254577,1,fixation_before,4,198044315119100,0,0,3,161732.0,-1718367.0,-623451.0,,"161732,-1718367,-623451"
55,198044328306700,0.0257483,1,fixation_before,4,198044315119100,0,0,3,156933.0,-1720752.0,-627207.0,,"156933,-1720752,-627207"
56,198044328605500,0.0260471,1,fixation_before,4,198044315119100,0,0,3,154734.0,-1719978.0,-627857.0,,"154734,-1719978,-627857"
57,198044328874300,0.0263159,1,fixation_before,4,198044315119100,0,0,3,159109.0,-1712446.0,-621504.0,,"159109,-1712446,-621504"
58,198044329140700,0.0265823,1,fixation_before,4,198044315119100,0,0,3,155258.0,-1717671.0,-626688.0,,"155258,-1717671,-626688"
59,198044329412500,0.0268541,1,fixation_before,4,198044315119100,0,0,3,154936.0,-1716274.0,-626136.0,,"154936,-1716274,-626136"
60,198044329679600,0.0271212,1,fixation_before,4,198044315119100,0,0,3,159769.0,-1711230.0,-621582.0,,"159769,-1711230,-621582"
61,198044329946900,0.0273885,1,fixation_before,4,198044315119100,0,0,3,164759.0,-1708749.0,-618184.0,,"164759,-1708749,-618184"
62,198044330213300,0.0276549,1,fixation_before,4,198044315119100,0,0,3,163377.0,-1715257.0,-622755.0,,"163377,-1715257,-622755"
63,198044330521700,0.0279633,1,fixation_before,4,198044315119100,0,0,3,168898.0,-1712549.0,-619191.0,,"168898,-1712549,-619191"
64,198044330788400,0.02823,1,fixation_before,4,198044315119100,0,0,3,165769.0,-1719984.0,-624946.0,,"165769,-1719984,-624946"
65,198044331056100,0.0284977,1,fixation_before,4,198044315119100,0,0,3,170456.0,-1716874.0,-620487.0,,"170456,-1716874,-620487"
66,198044331322600,0.0287642,1,fixation_before,4,198044315119100,0,0,3,172863.0,-1717082.0,-619154.0,,"172863,-1717082,-619154"
67,198044331590000,0.0290316,1,fixation_before,4,198044315119100,0,0,3,170628.0,-1722468.0,-623151.0,,"170628,-1722468,-623151"
68,198044331858900,0.0293005,1,fixation_before,5,198044331815300,0,0,3,175389.0,-1717706.0,-617741.0,,"175389,-1717706,-617741"
69,198044332134900,0.0295765,1,fixation_before,5,198044331815300,0,0,3,173279.0,-1722749.0,-621810.0,,"173279,-1722749,-621810"
70,198044332402700,0.0298443,1,fixation_before,5,198044331815300,0,0,3,168488.0,-1727644.0,-626272.0,,"168488,-1727644,-626272"
71,198044332669100,0.0301107,1,fixation_before,5,198044331815300,0,0,3,165275.0,-1728374.0,-627468.0,,"165275,-1728374,-627468"
72,198044332933400,0.030375,1,fixation_before,5,198044331815300,0,0,3,166556.0,-1722516.0,-623143.0,,"166556,-1722516,-623143"
73,198044333200100,0.0306417,1,fixation_before,5,198044331815300,0,0,3,158707.0,-1727727.0,-629967.0,,"158707,-1727727,-629967"
74,198044333464900,0.0309065,1,fixation_before,5,198044331815300,0,0,3,162358.0,-1718009.0,-622872.0,,"162358,-1718009,-622872"
75,198044333730000,0.0311716,1,fixation_before,5,198044331815300,0,0,3,157361.0,-1720264.0,-626601.0,,"157361,-1720264,-626601"
76,198044333996400,0.031438,1,fixation_before,5,198044331815300,0,0,3,154306.0,-1719711.0,-627768.0,,"154306,-1719711,-627768"
77,198044334261000,0.0317026,1,fixation_before,5,198044331815300,0,0,3,158767.0,-1712108.0,-621232.0,,"158767,-1712108,-621232"
78,198044334523900,0.0319655,1,fixation_before,5,198044331815300,0,0,3,154751.0,-1717655.0,-627048.0,,"154751,-1717655,-627048"
79,198044334788400,0.03223,1,fixation_before,5,198044331815300,0,0,3,154849.0,-1715492.0,-626084.0,,"154849,-1715492,-626084"
80,198044335056900,0.0324985,1,fixation_before,5,198044331815300,0,0,3,159688.0,-1710571.0,-621649.0,,"159688,-1710571,-621649"
81,198044335322200,0.0327638,1,fixation_before,5,198044331815300,0,0,3,164439.0,-1708071.0,-618271.0,,"164439,-1708071,-618271"
82,198044335586700,0.0330283,1,fixation_before,5,198044331815300,0,0,3,163344.0,-1714245.0,-622491.0,,"163344,-1714245,-622491"
83,198044335851500,0.0332931,1,fixation_before,5,198044331815300,0,0,3,168885.0,-1712029.0,-618545.0,,"168885,-1712029,-618545"
84,198044336118600,0.0335602,1,fixation_before,5,198044331815300,0,0,3,166106.0,-1719576.0,-623852.0,,"166106,-1719576,-623852"
85,198044336383000,0.0338246,1,fixation_before,5,198044331815300,0,0,3,170767.0,-1716430.0,-619793.0,,"170767,-1716430,-619793"
86,198044336647500,0.0340891,1,fixation_before,5,198044331815300,0,0,3,173045.0,-1716882.0,-618891.0,,"173045,-1716882,-618891"
87,198044336912000,0.0343536,1,fixation_before,5,198044331815300,0,0,3,170611.0,-1722353.0,-622890.0,,"170611,-1722353,-622890"
88,198044337175200,0.0346168,1,fixation_before,5,198044331815300,0,0,3,175314.0,-1717261.0,-617814.0,,"175314,-1717261,-617814"
89,198044337442200,0.0348838,1,fixation_before,5,198044331815300,0,0,3,173136.0,-1722312.0,-622156.0,,"173136,-1722312,-622156"
90,198044337712000,0.0351536,1,fixation_before,5,198044331815300,0,0,3,168850.0,-1727295.0,-626297.0,,"168850,-1727295,-626297"
91,198044337975000,0.0354166,1,fixation_before,5,198044331815300,0,0,3,165649.0,-1728392.0,-627405.0,,"165649,-1728392,-627405"
92,198044338239500,0.0356811,1,fixation_before,5,198044331815300,0,0,3,166468.0,-1722656.0,-623344.0,,"166468,-1722656,-623344"
93,198044338503900,0.0359455,1,fixation_before,5,198044331815300,0,0,3,158031.0,-1727758.0,-630201.0,,"158031,-1727758,-630201"
94,198044338766900,0.0362085,1,fixation_before,5,198044331815300,0,0,3,161929.0,-1718206.0,-623018.0,,"161929,-1718206,-623018"
95,198044339030500,0.0364721,1,fixation_before,5,198044331815300,0,0,3,157011.0,-1720756.0,-626942.0,,"157011,-1720756,-626942"
96,198044339323300,0.0367649,1,fixation_before,5,198044331815300,0,0,3,154828.0,-1719557.0,-627761.0,,"154828,-1719557,-627761"
97,198044339586100,0.0370277,1,fixation_before,5,198044331815300,0,0,3,159642.0,-1711672.0,-621206.0,,"159642,-1711672,-621206"
98,198044339848700,0.0372903,1,fixation_before,5,198044331815300,0,0,3,155063.0,-1717843.0,-627158.0,,"155063,-1717843,-627158"
99,198044340114600,0.0375562,1,fixation_before,5,198044331815300,0,0,3,155405.0,-1715560.0,-625309.0,,"155405,-1715560,-625309"
100,198044340382700,0.0378243,1,fixation_before,5,198044331815300,0,0,3,160036.0,-1711351.0,-621069.0,,"160036,-1711351,-621069"
101,198044340668600,0.0381102,1,fixation_before,5,198044331815300,0,0,3,164814.0,-1709218.0,-618371.0,,"164814,-1709218,-618371"
102,198044340932400,0.038374,1,fixation_before,5,198044331815300,0,0,3,163523.0,-1715491.0,-622907.0,,"163523,-1715491,-622907"
103,198044341196100,0.0386377,1,fixation_before,5,198044331815300,0,0,3,168998.0,-1713004.0,-618749.0,,"168998,-1713004,-618749"
104,198044341459000,0.0389006,1,fixation_before,5,198044331815300,0,0,3,165768.0,-1720307.0,-624196.0,,"165768,-1720307,-624196"
105,198044341722900,0.0391645,1,fixation_before,5,198044331815300,0,0,3,170580.0,-1716872.0,-620189.0,,"170580,-1716872,-620189"
106,198044341986100,0.0394277,1,fixation_before,5,198044331815300,0,0,3,173657.0,-1716452.0,-619175.0,,"173657,-1716452,-619175"
